,MatchID,gamelength,TeamColor,TeamTag,TeamID,Result,DragonValue,BaronValue,Herald,InhibitsValue,TowerValue,GoldIn10,GoldIn20,kill
0,0,40,blue,TSM,0,1,1,0,0,2,9,11361,29519,12
1,1,38,blue,CST,1,0,3,1,0,0,7,11419,27282,11
2,2,40,blue,WFX,2,1,4,1,0,4,15,12374,31317,16
3,3,41,blue,TIP,3,0,0,1,0,0,4,12033,25772,18
4,4,35,blue,CLG,4,1,2,1,0,1,8,11943,27472,6
5,5,24,blue,DIG,5,0,0,0,0,0,0,11606,26493,18
6,6,39,blue,CST,6,1,3,1,0,2,10,12795,29047,12
7,7,43,blue,TL,7,1,3,2,0,3,11,11667,27486,12
8,8,41,blue,C9,8,0,0,1,0,0,6,12921,29127,10
9,9,32,blue,T8,9,1,1,1,0,3,11,12316,28028,3
10,10,52,blue,GV,10,1,5,1,0,3,11,12389,28535,19
11,11,46,blue,T8,11,1,1,1,0,2,8,11930,28142,16
12,12,38,blue,C9,12,1,4,2,0,3,11,12003,29661,6
13,13,31,blue,TIP,13,0,1,0,0,0,2,11344,25268,13
14,14,33,blue,TSM,14,1,3,1,0,2,11,12932,31185,4
15,15,38,blue,CLG,15,1,5,0,0,2,10,12530,28773,6
16,16,40,blue,DIG,16,0,0,0,0,0,4,11489,25666,5
17,17,39,blue,TSM,17,1,4,1,0,1,10,12842,28189,10
18,18,40,blue,TIP,18,1,2,0,0,1,8,12728,28888,3
19,19,39,blue,CST,19,0,1,0,0,0,4,11651,29415,11
20,20,49,blue,GV,20,0,2,0,0,0,5,11869,28773,12
21,21,35,blue,C9,21,1,2,1,0,2,9,13495,28637,15
22,22,36,blue,DIG,22,0,3,0,0,0,5,12452,27344,18
23,23,43,blue,TL,23,1,3,2,0,4,11,12539,28085,4
24,24,32,blue,WFX,24,0,1,0,0,0,2,11663,26404,29
25,25,31,blue,C9,25,1,3,1,0,2,10,12573,28551,20
26,26,36,blue,CLG,26,1,2,1,0,1,14,12665,29028,12
27,27,41,blue,TL,27,0,2,0,0,0,5,11960,26908,13
28,28,31,blue,T8,28,1,3,1,0,4,11,13324,29662,11
29,29,30,blue,TSM,29,1,3,1,0,2,10,12115,32544,16
30,30,45,blue,CST,30,0,3,0,0,0,4,11975,28621,3
31,31,42,blue,WFX,31,1,4,0,0,1,8,12319,28654,4
32,32,27,blue,DIG,32,0,2,0,0,0,1,11083,23561,24
33,33,35,blue,T8,33,0,1,0,0,0,2,11150,23658,8
34,34,43,blue,GV,34,0,2,0,0,0,3,11590,29859,22
35,35,37,blue,WFX,35,1,2,1,0,1,9,11550,27556,4
36,36,40,blue,TIP,36,1,2,1,0,3,11,12641,31040,3
37,37,46,blue,CLG,37,0,4,2,0,1,6,12411,26851,24
38,38,48,blue,GV,38,1,4,2,0,4,16,12495,28172,17
39,39,39,blue,DIG,39,1,2,1,0,1,9,12015,30238,23
40,40,40,blue,TL,40,0,3,1,0,0,5,12443,27983,6
41,41,49,blue,T8,41,0,2,0,0,1,7,11658,26915,10
42,42,37,blue,C9,42,1,2,1,0,2,10,12080,28533,12
43,43,35,blue,DIG,43,0,1,0,0,0,2,10716,24620,8
44,44,24,blue,TSM,44,1,2,1,0,1,7,14742,32056,12
45,45,44,blue,C9,45,1,3,2,0,3,10,11729,27835,11
46,46,54,blue,TL,46,1,7,2,0,7,11,12308,28726,8
47,47,47,blue,WFX,47,0,3,0,0,0,6,11665,30060,7
48,48,33,blue,CST,48,0,1,0,0,0,3,12189,26983,10
49,49,30,blue,TIP,49,1,3,0,0,2,10,12067,33558,11
50,50,34,blue,CST,50,0,2,0,0,0,3,11777,27213,16
51,51,49,blue,T8,51,1,1,1,0,1,8,11971,28028,9
52,52,29,blue,TL,52,1,3,1,0,1,10,13606,28756,14
53,53,33,blue,TSM,53,1,3,2,0,1,10,12923,30026,8
54,54,29,blue,CLG,54,1,3,1,0,2,11,13225,29871,11
55,55,33,blue,GV,55,1,3,2,0,3,11,12118,29913,8
56,56,30,blue,C9,56,1,4,1,0,2,11,12952,29715,18
57,57,42,blue,TIP,57,1,3,0,0,1,8,11745,26939,5
58,58,55,blue,CLG,58,0,4,1,0,1,8,11851,28997,10
59,59,38,blue,T8,59,1,2,1,0,2,10,11387,29480,21
60,60,51,blue,DIG,60,1,3,1,0,1,9,13113,30174,2
61,61,36,blue,GV,61,0,2,0,0,0,2,12094,23767,18
62,62,46,blue,WFX,62,0,2,2,0,1,7,12722,27631,21
63,63,40,blue,TIP,63,1,2,1,0,1,8,12594,30042,2
64,64,46,blue,TL,64,0,1,1,0,0,3,11858,26153,3
65,65,46,blue,C9,65,1,4,1,0,3,11,12240,29711,4
66,66,37,blue,TSM,66,1,4,1,0,2,9,13007,29593,10
67,67,29,blue,TL,67,0,0,0,0,0,1,12045,26004,17
68,68,45,blue,GV,68,1,5,1,0,4,11,11911,27508,8
69,69,31,blue,CLG,69,1,3,1,0,4,11,12114,31683,9
70,70,31,blue,CST,70,0,0,0,0,0,3,11977,24935,1
71,71,33,blue,TL,71,0,1,0,0,0,2,12831,28085,5
72,72,37,blue,TSM,72,0,0,0,0,0,4,12307,31937,14
73,73,38,blue,CLG,73,1,2,1,0,1,8,11580,26752,15
74,74,45,blue,WFX,74,0,0,0,0,0,4,12022,28585,19
75,75,40,blue,DIG,75,0,2,0,0,0,2,12610,26471,14
76,76,42,blue,TSM,76,1,4,2,0,2,10,12083,28262,7
77,77,47,blue,T8,77,1,2,1,0,1,8,12407,27917,14
78,78,42,blue,TIP,78,1,4,2,0,1,9,13705,32340,16
79,79,37,blue,CST,79,0,1,0,0,0,1,12205,25554,22
80,80,45,blue,GV,80,0,2,0,0,0,6,11835,27593,7
81,81,34,blue,T8,81,0,1,0,0,0,4,11901,30143,6
82,82,36,blue,WFX,82,1,3,1,0,1,8,13342,28767,10
83,83,36,blue,CST,83,0,2,0,0,0,2,11824,24507,15
84,84,42,blue,TIP,84,0,1,0,0,0,3,11499,26720,3
85,85,35,blue,WFX,85,1,3,1,0,3,11,12174,29142,22
86,86,40,blue,C9,86,1,2,1,0,1,9,12956,31321,8
87,87,33,blue,DIG,87,0,0,0,0,0,1,11549,26358,17
88,88,34,blue,GV,88,1,5,1,0,2,10,12462,29093,16
89,89,34,blue,CLG,89,0,1,0,0,0,2,11533,25816,3
90,90,46,blue,T8,90,0,3,1,0,0,4,11630,28438,11
91,91,28,blue,C9,91,1,1,1,0,1,8,12935,30795,17
92,92,46,blue,C9,92,1,0,1,0,2,8,11348,26806,13
93,93,44,blue,TDK,93,0,1,0,0,0,3,12841,26169,15
94,94,33,blue,CLG,94,1,2,1,0,3,10,11675,27711,11
95,95,34,blue,T8,95,0,1,0,0,0,2,11318,26103,11
96,96,43,blue,GV,96,0,0,1,0,1,6,11811,26642,19
97,97,42,blue,TL,97,1,2,2,0,2,11,11813,26279,9
98,98,35,blue,DIG,98,1,4,2,0,4,11,13032,31843,4
99,99,40,blue,TIP,99,0,3,0,0,0,6,13841,30246,1
100,100,35,blue,TSM,100,1,4,1,0,1,8,11994,29067,21
101,101,43,blue,TDK,101,0,3,0,0,0,4,12093,27228,10
102,102,33,blue,NME,102,0,0,0,0,0,1,10775,24454,7
103,103,36,blue,C9,103,0,1,0,0,0,3,11104,25907,14
104,104,43,blue,TSM,104,1,4,2,0,3,11,12538,30518,18
105,105,38,blue,T8,105,0,0,0,0,0,4,11439,26392,15
106,106,50,blue,DIG,106,1,2,2,0,3,11,11601,25603,17
107,107,37,blue,C9,107,0,2,0,0,0,3,12774,29147,24
108,108,33,blue,TL,108,0,1,0,0,0,2,12090,26837,23
109,109,40,blue,CLG,109,0,0,1,0,0,6,11734,26872,15
110,110,48,blue,TDK,110,0,3,0,0,0,4,12890,27739,16
111,111,44,blue,T8,111,0,1,0,0,0,3,11973,27902,12
112,112,39,blue,NME,112,0,3,0,0,0,4,13295,27938,19
113,113,44,blue,TSM,113,0,2,0,0,1,7,12496,27417,14
114,114,40,blue,TL,114,1,2,1,0,3,10,12479,29889,20
115,115,30,blue,TIP,115,1,3,1,0,3,11,13394,31621,11
116,116,31,blue,GV,116,0,0,0,0,0,2,11081,24600,12
117,117,31,blue,C9,117,1,1,0,0,2,9,12625,30502,12
118,118,48,blue,TSM,118,1,4,2,0,2,10,12175,30058,17
119,119,36,blue,TIP,119,0,1,0,0,0,4,12398,28071,13
120,120,36,blue,DIG,120,0,0,0,0,0,4,11626,25664,10
121,121,49,blue,CLG,121,1,3,3,0,3,10,13778,29847,12
122,122,40,blue,DIG,122,1,3,1,0,1,8,11717,29112,4
123,123,39,blue,TDK,123,0,4,0,0,0,5,12785,29884,12
124,124,42,blue,TL,124,0,4,1,0,0,4,12974,28472,9
125,125,34,blue,GV,125,1,4,1,0,1,8,11984,28780,7
126,126,36,blue,NME,126,1,5,0,0,3,10,12071,27308,18
127,127,51,blue,T8,127,1,4,2,0,3,11,11471,26720,8
128,128,48,blue,GV,128,0,2,1,0,1,6,12245,27506,14
129,129,48,blue,CLG,129,1,3,2,0,3,11,12960,28680,9
130,130,36,blue,NME,130,0,0,0,0,0,5,12907,28270,14
131,131,54,blue,TL,131,0,1,2,0,3,9,11638,25309,17
132,132,44,blue,TIP,132,0,3,1,0,0,5,12703,28045,15
133,133,37,blue,TL,133,1,2,2,0,2,9,12593,29672,20
134,134,41,blue,TSM,134,1,1,2,0,3,10,11424,26611,6
135,135,38,blue,C9,135,1,4,1,0,1,8,12811,29959,18
136,136,30,blue,DIG,136,1,3,1,0,1,8,11872,29513,14
137,137,49,blue,GV,137,1,3,1,0,4,11,12856,26780,6
138,138,29,blue,TIP,138,1,2,1,0,1,9,12557,30162,15
139,139,39,blue,TSM,139,1,2,1,0,3,11,13027,28511,10
140,140,36,blue,TDK,140,1,2,1,0,2,9,11591,27232,2
141,141,49,blue,T8,141,1,1,2,0,2,7,12979,30525,10
142,142,32,blue,TIP,142,1,2,1,0,1,9,12839,34374,9
143,143,55,blue,TDK,143,0,4,0,0,0,3,12364,28047,19
144,144,42,blue,C9,144,0,3,0,0,1,6,12528,30004,17
145,145,28,blue,CLG,145,0,1,0,0,0,3,12449,28147,11
146,146,38,blue,DIG,146,1,3,1,0,1,8,12406,28326,5
147,147,43,blue,NME,147,1,2,1,0,5,11,12192,28262,19
148,148,40,blue,CLG,148,0,4,0,0,2,9,14555,31555,11
149,149,41,blue,TSM,149,0,0,0,0,0,1,13171,27648,19
150,150,29,blue,DIG,150,0,0,0,0,0,0,12477,26694,9
151,151,40,blue,T8,151,1,3,1,0,3,11,12053,27950,15
152,152,43,blue,TL,152,1,3,2,0,4,11,12819,31082,1
153,153,29,blue,NME,153,0,1,0,0,0,2,11388,25795,17
154,154,40,blue,GV,154,1,4,2,0,4,11,12508,31797,2
155,155,40,blue,T8,155,1,5,2,0,1,9,12943,27124,25
156,156,34,blue,TIP,156,1,3,1,0,1,10,12484,32996,9
157,157,39,blue,NME,157,0,1,0,0,0,2,11370,25104,8
158,158,25,blue,C9,158,1,1,1,0,2,9,11993,31136,20
159,159,45,blue,TSM,159,0,2,0,0,1,5,12253,26418,18
160,160,40,blue,TIP,160,1,4,0,0,1,7,12166,28183,8
161,161,41,blue,CLG,161,1,2,1,0,3,11,12952,28630,3
162,162,29,blue,C9,162,1,2,1,0,1,9,13972,32099,22
163,163,40,blue,TIP,163,1,2,1,0,2,10,12929,31026,14
164,164,38,blue,CLG,164,1,4,1,0,1,7,12639,28958,10
165,165,57,blue,GV,165,0,4,2,0,2,8,12177,28320,7
166,166,52,blue,TDK,166,0,2,0,0,3,8,12448,25983,6
167,167,27,blue,TL,167,1,3,1,0,3,11,13685,29326,23
168,168,51,blue,C9,168,0,2,2,0,0,6,11778,29623,15
169,169,36,blue,DIG,169,0,1,0,0,0,2,11824,25139,18
170,170,37,blue,TDK,170,0,1,0,0,0,4,12207,29796,5
171,171,49,blue,T8,171,0,3,1,0,0,5,11988,29664,24
172,172,42,blue,T8,172,0,2,0,0,0,4,11915,25585,12
173,173,30,blue,DIG,173,0,0,0,0,0,1,11430,25788,22
174,174,35,blue,GV,174,0,2,0,0,0,4,12219,30042,13
175,175,58,blue,NME,175,0,4,2,0,2,7,13061,28574,1
176,176,38,blue,TDK,176,1,4,1,0,1,9,12814,31355,13
177,177,32,blue,NME,177,0,1,0,0,0,3,12505,28249,9
178,178,28,blue,CLG,178,1,3,1,0,1,8,14016,28564,24
179,179,32,blue,TSM,179,0,2,0,0,0,3,12875,28129,3
180,180,33,blue,GV,180,0,1,0,0,0,2,11582,24367,16
181,181,60,blue,TL,181,1,4,2,0,7,11,12383,31028,6
182,182,33,blue,T8,182,0,0,0,0,0,3,11591,26083,11
183,183,29,blue,TIP,183,1,2,1,0,2,9,13239,32804,13
184,184,36,blue,TL,184,1,2,1,0,2,10,13164,29983,4
185,185,40,blue,CLG,185,0,1,0,0,0,6,12013,29907,15
186,186,35,blue,TL,186,1,1,1,0,2,10,12145,28325,13
187,187,33,blue,CLG,187,0,0,0,0,0,3,12361,26181,13
188,188,26,blue,TIP,188,1,1,1,0,1,9,12586,35519,6
189,189,43,blue,GV,189,1,4,2,0,2,10,12334,31952,17
190,190,32,blue,GV,190,0,1,0,0,0,4,11951,28450,7
191,191,26,blue,GV,191,0,1,0,0,0,2,12252,28434,9
192,192,41,blue,C9,192,0,0,0,0,0,5,11967,27590,15
193,193,33,blue,TL,193,1,3,1,0,1,9,12572,29937,16
194,194,39,blue,C9,194,1,3,3,0,4,10,13396,30147,13
195,195,42,blue,TL,195,0,3,0,0,0,4,12228,27497,11
196,196,32,blue,C9,196,1,3,1,0,1,8,12890,28686,17
197,197,39,blue,TSM,197,0,0,0,0,0,4,12070,27208,15
198,198,42,blue,TIP,198,0,1,0,0,0,2,13162,28171,7
199,199,30,blue,TIP,199,0,0,0,0,0,1,11732,25059,15
200,200,30,blue,TIP,200,0,1,0,0,0,1,11957,27552,14
201,201,38,blue,TIP,201,1,5,1,0,3,10,11996,27669,16
202,202,42,blue,TL,202,1,2,1,0,2,8,12813,27771,15
203,203,41,blue,TL,203,0,1,1,0,0,2,12411,27561,18
204,204,30,blue,TL,204,1,2,1,0,1,9,12631,30381,2
205,205,37,blue,TIP,205,0,2,0,0,0,3,11963,26668,19
206,206,34,blue,TSM,206,0,3,0,0,0,5,11685,29700,6
207,207,43,blue,C9,207,0,1,1,0,0,6,11818,27804,20
208,208,35,blue,TSM,208,1,4,2,0,1,9,12316,30063,13
209,209,33,blue,C9,209,0,1,0,0,0,3,11075,26642,13
210,210,41,blue,TIP,210,1,2,0,0,2,8,11912,29591,18
211,211,38,blue,DIG,211,0,1,0,0,0,2,11253,27402,8
212,212,38,blue,TIP,212,1,4,1,0,2,8,13842,33464,15
213,213,40,blue,GV,213,0,2,1,0,0,3,12066,25819,16
214,214,47,blue,GV,214,1,4,1,0,3,11,12300,27273,12
215,215,32,blue,TSM,215,1,2,1,0,4,11,13364,32859,15
216,216,30,blue,GV,216,0,2,0,0,0,4,12879,27115,17
217,217,44,blue,CLG,217,1,2,1,0,2,10,11872,28525,4
218,218,40,blue,TIP,218,0,4,0,0,0,3,12373,26170,16
219,219,28,blue,CLG,219,1,2,1,0,3,11,12974,31991,11
220,220,54,blue,TL,220,0,2,0,0,0,5,12444,28438,20
221,221,56,blue,TSM,221,1,3,2,0,2,10,11854,26463,15
222,222,44,blue,TL,222,1,4,1,0,2,11,12867,27363,12
223,223,38,blue,TSM,223,1,3,2,0,3,10,12782,30737,17
224,224,41,blue,TL,224,1,1,1,0,1,8,12283,27169,7
225,225,38,blue,TIP,225,1,3,1,0,2,11,12155,31255,4
226,226,33,blue,TL,226,1,0,1,0,2,9,12165,28509,24
227,227,37,blue,TIP,227,0,3,0,0,0,3,13930,30044,18
228,228,40,blue,CLG,228,1,3,1,0,3,11,12591,30060,13
229,229,32,blue,TSM,229,0,2,0,0,0,3,11050,27899,9
230,230,35,blue,CLG,230,1,3,2,0,1,8,11604,26380,13
231,231,35,blue,C9,231,0,0,0,0,0,6,12156,25833,14
