,MatchID,gamelength,TeamColor,TeamTag,TeamID,Result,DragonValue,BaronValue,Herald,InhibitsValue,TowerValue,GoldIn10,GoldIn20,kill
0,0,40,red,C9,3802,0,1,1,0,0,4,11986,28097,1
1,1,38,red,DIG,3803,1,3,0,0,1,7,11661,26177,16
2,2,40,red,GV,3804,0,4,0,0,0,2,11461,26024,6
3,3,41,red,TL,3805,1,0,0,0,1,7,12017,25004,21
4,4,35,red,T8,3806,0,2,0,0,0,4,11738,26994,16
5,5,24,red,TIP,3807,1,0,0,0,2,10,12160,29749,13
6,6,39,red,WFX,3808,0,3,0,0,0,3,12436,26795,5
7,7,43,red,CLG,3809,0,3,0,0,0,9,11461,26121,2
8,8,41,red,GV,3810,1,0,1,0,4,11,12297,26957,15
9,9,32,red,TSM,3811,0,1,0,0,0,3,12025,28045,20
10,10,52,red,DIG,3812,0,5,0,0,0,7,11966,25557,5
11,11,46,red,CST,3813,0,1,1,0,1,6,12291,27254,24
12,12,38,red,TL,3814,0,4,0,0,0,4,12236,26946,20
13,13,31,red,CLG,3815,1,1,1,0,2,11,13030,31005,26
14,14,33,red,WFX,3816,0,3,0,0,0,3,12041,26279,10
15,15,38,red,C9,3817,0,5,0,0,0,3,11502,25433,10
16,16,40,red,WFX,3818,1,0,2,0,3,12,11474,28793,12
17,17,39,red,TL,3819,0,4,0,0,0,3,11920,25879,1
18,18,40,red,T8,3820,0,2,1,0,2,8,11777,25629,13
19,19,39,red,GV,3821,1,1,1,0,1,8,12865,28685,5
20,20,49,red,TIP,3822,1,2,2,0,4,11,11808,28579,6
21,21,35,red,T8,3823,0,2,0,0,0,3,12335,25879,22
22,22,36,red,TSM,3824,1,3,2,0,2,12,12650,28252,18
23,23,43,red,CST,3825,0,3,0,0,0,2,11450,27043,14
24,24,32,red,CLG,3826,1,1,2,0,2,9,12186,34320,14
25,25,31,red,CST,3827,0,3,0,0,0,3,10730,23924,9
26,26,36,red,GV,3828,0,2,0,0,0,4,11300,25716,17
27,27,41,red,DIG,3829,1,2,2,0,1,9,11561,26850,6
28,28,31,red,WFX,3830,0,3,0,0,0,2,10884,24566,5
29,29,30,red,TIP,3831,0,3,0,0,0,2,12577,27632,10
30,30,45,red,CLG,3832,1,3,1,0,3,10,12037,27220,10
31,31,42,red,TIP,3833,0,4,0,0,0,3,12685,29266,4
32,32,27,red,C9,3834,1,2,1,0,1,9,12468,28070,11
33,33,35,red,TL,3835,1,1,2,0,3,11,12968,33178,9
34,34,43,red,TSM,3836,1,2,3,0,5,11,12399,31674,4
35,35,37,red,C9,3837,0,2,0,0,0,3,13009,30199,13
36,36,40,red,CST,3838,0,2,1,0,0,5,12481,27802,21
37,37,46,red,TSM,3839,1,4,0,0,1,9,11564,25914,10
38,38,48,red,TL,3840,0,4,0,0,0,4,11570,26019,19
39,39,39,red,T8,3841,0,2,0,0,0,6,14160,31270,11
40,40,40,red,WFX,3842,1,3,0,0,1,9,11746,26285,15
41,41,49,red,GV,3843,1,2,1,0,1,9,11601,26198,2
42,42,37,red,TIP,3844,0,2,0,0,0,4,11269,25935,8
43,43,35,red,CLG,3845,1,1,1,0,3,11,13480,29769,11
44,44,24,red,CST,3846,0,2,0,0,0,2,11093,25336,2
45,45,44,red,CLG,3847,0,3,0,0,1,5,12151,27032,22
46,46,54,red,TSM,3848,0,7,0,0,0,3,12050,29371,4
47,47,47,red,DIG,3849,1,3,2,0,2,9,12079,27973,12
48,48,33,red,T8,3850,1,1,1,0,3,11,11709,29948,11
49,49,30,red,GV,3851,0,3,0,0,0,0,11660,24587,4
50,50,34,red,C9,3852,1,2,1,0,2,10,12205,30903,16
51,51,49,red,TIP,3853,0,1,2,0,2,8,11894,25597,12
52,52,29,red,GV,3854,0,3,0,0,0,0,12134,27110,10
53,53,33,red,DIG,3855,0,3,0,0,0,2,11919,28060,13
54,54,29,red,WFX,3856,0,3,0,0,0,0,10738,23360,5
55,55,33,red,CST,3857,0,3,0,0,0,2,11277,23576,20
56,56,30,red,WFX,3858,0,4,0,0,0,1,10757,24177,10
57,57,42,red,TSM,3859,0,3,0,0,0,4,12409,29379,13
58,58,55,red,TL,3860,1,4,2,0,1,9,11918,29045,7
59,59,38,red,DIG,3861,0,2,0,0,0,3,11602,26522,16
60,60,51,red,CST,3862,0,3,1,0,1,6,11520,25861,15
61,61,36,red,CLG,3863,1,2,1,0,4,11,12346,27092,6
62,62,46,red,TSM,3864,1,2,0,0,1,9,11983,29536,12
63,63,40,red,C9,3865,0,2,1,0,2,7,12110,26307,14
64,64,46,red,T8,3866,1,1,1,0,1,8,11502,26878,14
65,65,46,red,DIG,3867,0,4,0,0,0,4,11628,26237,13
66,66,37,red,T8,3868,0,4,0,0,0,2,11901,26030,18
67,67,29,red,TIP,3869,1,0,1,0,3,11,13457,33083,11
68,68,45,red,WFX,3870,0,5,0,0,0,3,11369,25871,16
69,69,31,red,CST,3871,0,3,0,0,0,1,11582,24701,6
70,70,31,red,TIP,3872,1,0,1,0,1,8,12468,33555,13
71,71,33,red,C9,3873,1,1,2,0,1,10,12098,30617,19
72,72,37,red,GV,3874,1,0,2,0,1,9,12315,27534,3
73,73,38,red,DIG,3875,0,2,1,0,0,6,10925,27389,21
74,74,45,red,T8,3876,1,0,2,0,2,10,12168,29318,15
75,75,40,red,GV,3877,1,2,2,0,4,11,11850,29301,21
76,76,42,red,CLG,3878,0,4,0,0,0,5,11882,27552,18
77,77,47,red,C9,3879,0,2,1,0,2,7,12207,28340,14
78,78,42,red,WFX,3880,0,4,0,0,0,4,12197,26896,4
79,79,37,red,TL,3881,1,1,2,0,3,10,12185,29093,21
80,80,45,red,C9,3882,1,2,1,0,1,8,13002,29698,6
81,81,34,red,CLG,3883,1,1,0,0,1,8,11911,27312,8
82,82,36,red,TL,3884,0,3,0,0,0,2,11953,27009,20
83,83,36,red,TSM,3885,1,2,2,0,2,9,12641,28753,18
84,84,42,red,DIG,3886,1,1,2,0,1,9,12340,27764,9
85,85,35,red,CST,3887,0,3,0,0,0,4,11733,24811,4
86,86,40,red,TSM,3888,0,2,1,0,0,4,11992,26546,11
87,87,33,red,TL,3889,1,0,1,0,1,9,13412,28829,8
88,88,34,red,T8,3890,0,5,0,0,0,3,12143,28921,18
89,89,34,red,TIP,3891,1,1,1,0,3,11,12290,31782,19
90,90,46,red,TL,3892,1,3,0,0,1,8,11778,27581,15
91,91,28,red,CLG,3893,0,1,0,0,0,3,11267,27632,10
92,92,46,red,TSM,3894,0,0,0,0,0,7,12435,29202,7
93,93,44,red,TL,3895,1,1,3,0,3,11,12358,29729,17
94,94,33,red,DIG,3896,0,2,0,0,0,0,11265,25056,12
95,95,34,red,TIP,3897,1,1,2,0,1,9,11945,30218,6
96,96,43,red,NME,3898,1,0,0,0,1,7,11611,26655,17
97,97,42,red,T8,3899,0,2,0,0,0,5,11803,30024,9
98,98,35,red,C9,3900,0,4,0,0,0,0,12199,26207,8
99,99,40,red,CLG,3901,1,3,1,0,2,10,13538,28460,12
100,100,35,red,NME,3902,0,4,0,0,0,2,12492,27371,16
101,101,43,red,GV,3903,1,3,1,0,2,10,12215,27882,6
102,102,33,red,TL,3904,1,0,2,0,1,9,14228,34750,22
103,103,36,red,GV,3905,1,1,1,0,1,8,12850,30591,22
104,104,43,red,TIP,3906,0,4,0,0,0,4,11760,25802,8
105,105,38,red,CLG,3907,1,0,2,0,1,9,13009,30713,14
106,106,50,red,TDK,3908,0,2,1,0,0,6,12016,26973,5
107,107,37,red,TIP,3909,1,2,2,0,1,9,12353,27881,15
108,108,33,red,GV,3910,1,1,1,0,2,10,12230,30260,15
109,109,40,red,TSM,3911,1,0,1,0,1,10,12686,29150,5
